mission_name,Rocket Type,Reusability,Payload Mass (kg),Payload Type,Orbit,Country,Launch Success,launch_date,launch_year
sxm-7,Falcon 9,False,7000.0,Satellite,GTO,Florida,1.0,2020-12-13 17:30:00+00:00,2020
nrol-108,Falcon 9,False,7834.885403726708,Satellite,VLEO,Florida,1.0,2020-12-19 14:00:00+00:00,2020
turksat 5a,Falcon 9,False,3500.0,Satellite,GTO,Florida,1.0,2021-01-08 02:15:00+00:00,2021
starlink-16 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-01-20 13:02:00+00:00,2021
transporter-1,Falcon 9,False,7834.885403726708,Satellite,SSO,Florida,1.0,2021-01-24 15:00:00+00:00,2021
starlink-18 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-02-04 06:19:00+00:00,2021
starlink-19 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-02-16 03:59:00+00:00,2021
starlink-17 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-03-04 08:24:00+00:00,2021
starlink-20 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-03-11 08:13:00+00:00,2021
starlink-21 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-03-14 10:01:00+00:00,2021
starlink-22 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-03-24 08:28:00+00:00,2021
starlink-23 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-04-07 16:34:00+00:00,2021
crew-2,Falcon 9,True,7834.885403726708,Crew Dragon,ISS,Florida,1.0,2021-04-23 09:49:00+00:00,2021
starlink-24 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-04-29 03:44:00+00:00,2021
starlink-25 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-05-04 19:01:00+00:00,2021
starlink-27 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-05-09 06:42:00+00:00,2021
starlink-26 (v1.0) + capella-6 + tyvak-0130,Falcon 9,False,13520.0,Satellite,VLEO,Florida,1.0,2021-05-15 22:54:00+00:00,2021
starlink-28 (v1.0),Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2021-05-26 18:59:00+00:00,2021
crs-22 & irosa,Falcon 9,True,3328.0,Dragon 2.0,ISS,Florida,1.0,2021-06-03 17:29:00+00:00,2021
sxm-8,Falcon 9,False,7000.0,Satellite,GTO,Florida,1.0,2021-06-06 04:26:00+00:00,2021
gps iii sv05,Falcon 9,False,3681.0,Satellite,MEO,Florida,1.0,2021-06-17 16:09:00+00:00,2021
transporter-2,Falcon 9,False,7834.885403726708,Satellite,SSO,Florida,1.0,2021-06-30 19:31:00+00:00,2021
crs-23,Falcon 9,True,7834.885403726708,Dragon 2.0,ISS,Florida,1.0,2021-08-29 07:14:00+00:00,2021
starlink 2-1 (v1.5),Falcon 9,False,15600.0,Satellite,PO,California,1.0,2021-09-14 03:55:00+00:00,2021
inspiration4,Falcon 9,True,7834.885403726708,Crew Dragon,LEO,Florida,1.0,2021-09-16 00:02:00+00:00,2021
crew-3,Falcon 9,False,12519.0,Crew Dragon,ISS,Florida,1.0,2021-11-11 02:03:00+00:00,2021
starlink 4-1 (v1.5),Falcon 9,False,13260.0,Satellite,LEO,Florida,1.0,2021-11-13 12:40:00+00:00,2021
dart,Falcon 9,False,670.0,Satellite,TLI,California,1.0,2021-11-24 06:20:00+00:00,2021
